value,created_at,lat,lon,ele
15,2019-03-20 12:28:02 UTC,,,
15,2019-03-20 12:28:11 UTC,,,
15,2019-03-20 12:28:15 UTC,,,
15,2019-03-20 12:28:19 UTC,,,
15,2019-03-20 12:28:23 UTC,,,
15,2019-03-20 12:28:27 UTC,,,
16,2019-03-20 12:28:33 UTC,,,
15,2019-03-20 12:28:35 UTC,,,
15,2019-03-20 12:28:39 UTC,,,
16,2019-03-20 12:28:43 UTC,,,
16,2019-03-20 12:28:47 UTC,,,
16,2019-03-20 12:28:51 UTC,,,
16,2019-03-20 12:28:55 UTC,,,
16,2019-03-20 12:28:59 UTC,,,
18,2019-03-20 12:29:03 UTC,,,
16,2019-03-20 12:29:07 UTC,,,
16,2019-03-20 12:29:11 UTC,,,
15,2019-03-20 12:29:15 UTC,,,
15,2019-03-20 12:29:19 UTC,,,
15,2019-03-20 12:29:23 UTC,,,
15,2019-03-20 12:29:27 UTC,,,
15,2019-03-20 12:29:31 UTC,,,
15,2019-03-20 12:29:35 UTC,,,
15,2019-03-20 12:29:39 UTC,,,
17,2019-03-20 12:29:43 UTC,,,
15,2019-03-20 12:29:47 UTC,,,
16,2019-03-20 12:29:51 UTC,,,
16,2019-03-20 12:29:55 UTC,,,
16,2019-03-20 12:30:00 UTC,,,
16,2019-03-20 12:30:03 UTC,,,
16,2019-03-20 12:30:08 UTC,,,
16,2019-03-20 12:30:12 UTC,,,
16,2019-03-20 12:30:16 UTC,,,
16,2019-03-20 12:30:20 UTC,,,
16,2019-03-20 12:30:24 UTC,,,
16,2019-03-20 12:30:28 UTC,,,
16,2019-03-20 12:30:32 UTC,,,
16,2019-03-20 12:30:36 UTC,,,
16,2019-03-20 12:30:40 UTC,,,
16,2019-03-20 12:30:44 UTC,,,
16,2019-03-20 12:30:48 UTC,,,
16,2019-03-20 12:30:52 UTC,,,
16,2019-03-20 12:30:56 UTC,,,
16,2019-03-20 12:31:00 UTC,,,
16,2019-03-20 12:31:04 UTC,,,
16,2019-03-20 12:31:08 UTC,,,
16,2019-03-20 12:31:12 UTC,,,
16,2019-03-20 12:31:16 UTC,,,
16,2019-03-20 12:31:20 UTC,,,
16,2019-03-20 12:31:24 UTC,,,
16,2019-03-20 12:31:28 UTC,,,
16,2019-03-20 12:31:32 UTC,,,
16,2019-03-20 12:31:36 UTC,,,
16,2019-03-20 12:31:40 UTC,,,
16,2019-03-20 12:31:44 UTC,,,
16,2019-03-20 12:31:48 UTC,,,
16,2019-03-20 12:31:52 UTC,,,
16,2019-03-20 12:31:56 UTC,,,
16,2019-03-20 12:32:00 UTC,,,
16,2019-03-20 12:32:04 UTC,,,
16,2019-03-20 12:32:08 UTC,,,
16,2019-03-20 12:32:12 UTC,,,
16,2019-03-20 12:32:16 UTC,,,
16,2019-03-20 12:32:20 UTC,,,
16,2019-03-20 12:32:24 UTC,,,
16,2019-03-20 12:32:28 UTC,,,
16,2019-03-20 12:32:32 UTC,,,
16,2019-03-20 12:32:36 UTC,,,
16,2019-03-20 12:32:40 UTC,,,
16,2019-03-20 12:32:44 UTC,,,
16,2019-03-20 12:32:48 UTC,,,
16,2019-03-20 12:32:53 UTC,,,
16,2019-03-20 12:32:57 UTC,,,
16,2019-03-20 12:33:01 UTC,,,
15,2019-03-20 12:33:05 UTC,,,
15,2019-03-20 12:33:09 UTC,,,
15,2019-03-20 12:33:13 UTC,,,
15,2019-03-20 12:33:17 UTC,,,
15,2019-03-20 12:33:21 UTC,,,
15,2019-03-20 12:33:25 UTC,,,
15,2019-03-20 12:33:29 UTC,,,
15,2019-03-20 12:33:33 UTC,,,
15,2019-03-20 12:33:37 UTC,,,
15,2019-03-20 12:33:41 UTC,,,
15,2019-03-20 12:33:45 UTC,,,
15,2019-03-20 12:33:49 UTC,,,
15,2019-03-20 12:33:53 UTC,,,
15,2019-03-20 12:33:57 UTC,,,
15,2019-03-20 12:34:01 UTC,,,
15,2019-03-20 12:34:05 UTC,,,
15,2019-03-20 12:34:09 UTC,,,
15,2019-03-20 12:34:13 UTC,,,
15,2019-03-20 12:34:17 UTC,,,
15,2019-03-20 12:34:21 UTC,,,
15,2019-03-20 12:34:25 UTC,,,
15,2019-03-20 12:34:29 UTC,,,
15,2019-03-20 12:34:33 UTC,,,
15,2019-03-20 12:34:37 UTC,,,
15,2019-03-20 12:34:41 UTC,,,
15,2019-03-20 12:34:45 UTC,,,
15,2019-03-20 12:34:49 UTC,,,
15,2019-03-20 12:34:53 UTC,,,
15,2019-03-20 12:34:57 UTC,,,
15,2019-03-20 12:35:03 UTC,,,
15,2019-03-20 12:35:07 UTC,,,
15,2019-03-20 12:35:11 UTC,,,
15,2019-03-20 12:35:15 UTC,,,
15,2019-03-20 12:35:19 UTC,,,
21,2019-03-20 12:35:23 UTC,,,
16,2019-03-20 12:35:27 UTC,,,
16,2019-03-20 12:35:31 UTC,,,
16,2019-03-20 12:35:35 UTC,,,
16,2019-03-20 12:35:39 UTC,,,
16,2019-03-20 12:35:43 UTC,,,
16,2019-03-20 12:35:47 UTC,,,
16,2019-03-20 12:35:51 UTC,,,
16,2019-03-20 12:35:55 UTC,,,
16,2019-03-20 12:35:59 UTC,,,
16,2019-03-20 12:36:07 UTC,,,
16,2019-03-20 12:36:11 UTC,,,
19,2019-03-20 12:36:15 UTC,,,
16,2019-03-20 12:36:19 UTC,,,
16,2019-03-20 12:36:23 UTC,,,
15,2019-03-20 12:36:27 UTC,,,
16,2019-03-20 12:36:31 UTC,,,
16,2019-03-20 12:36:35 UTC,,,
16,2019-03-20 12:36:39 UTC,,,
16,2019-03-20 12:36:43 UTC,,,
16,2019-03-20 12:36:47 UTC,,,
16,2019-03-20 12:36:52 UTC,,,
16,2019-03-20 12:36:56 UTC,,,
16,2019-03-20 12:37:00 UTC,,,
16,2019-03-20 12:37:04 UTC,,,
16,2019-03-20 12:37:08 UTC,,,
16,2019-03-20 12:37:12 UTC,,,
16,2019-03-20 12:37:16 UTC,,,
16,2019-03-20 12:37:20 UTC,,,
16,2019-03-20 12:37:24 UTC,,,
16,2019-03-20 12:37:28 UTC,,,
16,2019-03-20 12:37:32 UTC,,,
16,2019-03-20 12:37:36 UTC,,,
16,2019-03-20 12:37:40 UTC,,,
16,2019-03-20 12:37:44 UTC,,,
16,2019-03-20 12:37:48 UTC,,,
16,2019-03-20 12:37:52 UTC,,,
16,2019-03-20 12:37:56 UTC,,,
16,2019-03-20 12:38:00 UTC,,,
16,2019-03-20 12:38:04 UTC,,,
