id,value,feed_id,created_at,lat,lon,ele
0E407BMAF7JPQ157Z88XPE5ZTB,31.00,1026841,2019-03-20 12:28:02 UTC,,,
0E407BQ1JGKJGJNJ1T0H2JTVCN,31.00,1026841,2019-03-20 12:28:11 UTC,,,
0E407BR9KZR7EZYTQKNC8EHP2K,31.00,1026841,2019-03-20 12:28:15 UTC,,,
0E407BSGFJCCKG0XEP5J9RTSX8,31.00,1026841,2019-03-20 12:28:19 UTC,,,
0E407BTQQTF1XTG3KPQZDEXXC8,31.00,1026841,2019-03-20 12:28:23 UTC,,,
0E407BVZ68X0RA0SMNCV6B7P11,31.00,1026841,2019-03-20 12:28:27 UTC,,,
0E407BXWDXTA8M0ZRK4B7BQQQR,30.00,1026841,2019-03-20 12:28:33 UTC,,,
0E407BYECECDEMBRWX81XC7NB4,31.00,1026841,2019-03-20 12:28:35 UTC,,,
0E407BZN0HYNHNYSHBFSPWH814,31.00,1026841,2019-03-20 12:28:39 UTC,,,
0E407C0W7FMAT292H3HZY9Q9XM,30.00,1026841,2019-03-20 12:28:43 UTC,,,
0E407C23Q6F6H45E7H1EFFP9M7,30.00,1026841,2019-03-20 12:28:47 UTC,,,
0E407C3AXBC4GBJH2Y4F3WYFZZ,30.00,1026841,2019-03-20 12:28:51 UTC,,,
0E407C4J631C7ZEH5M277HWZ9S,30.00,1026841,2019-03-20 12:28:55 UTC,,,
0E407C5T1Q2508DHWVQ79GYRJG,30.00,1026841,2019-03-20 12:28:59 UTC,,,
0E407C70AEW36T9WWSXNKYX0TY,30.00,1026841,2019-03-20 12:29:03 UTC,,,
0E407C885HCZM9CB76AS6AA54K,30.00,1026841,2019-03-20 12:29:07 UTC,,,
0E407C9FKT543YDYSYN53988M1,30.00,1026841,2019-03-20 12:29:11 UTC,,,
0E407CAPB3WT79YY0FHY3BCX58,31.00,1026841,2019-03-20 12:29:15 UTC,,,
0E407CBXQT842EDRAYBKNY5WW9,31.00,1026841,2019-03-20 12:29:19 UTC,,,
0E407CD5R8E5PE6MW6PKNVQRC0,31.00,1026841,2019-03-20 12:29:23 UTC,,,
0E407CECBRAPZNMABSGT77J37F,31.00,1026841,2019-03-20 12:29:27 UTC,,,
0E407CFM1NJ9JGA2Q0490CF57W,31.00,1026841,2019-03-20 12:29:31 UTC,,,
0E407CGTW855X795XWBQKQCKNF,31.00,1026841,2019-03-20 12:29:35 UTC,,,
0E407CJ2HK67FBAW5W7P6X5F67,31.00,1026841,2019-03-20 12:29:39 UTC,,,
0E407CKA8ZKB5A3Q3WGZYAD4ZD,31.00,1026841,2019-03-20 12:29:43 UTC,,,
0E407CMGNBJEW745MZK202TDSV,31.00,1026841,2019-03-20 12:29:47 UTC,,,
0E407CNRFKBJ807YEV47CBPCEE,30.00,1026841,2019-03-20 12:29:51 UTC,,,
0E407CPZHKJAZVN26EVEWR5FDF,30.00,1026841,2019-03-20 12:29:55 UTC,,,
0E407CR7QVHB00DP7FC3KDX9FH,30.00,1026841,2019-03-20 12:30:00 UTC,,,
0E407CSDYVC05Y9JW5ABTN113K,30.00,1026841,2019-03-20 12:30:03 UTC,,,
0E407CTNN6TJTQ4PRCY3FH9TTG,30.00,1026841,2019-03-20 12:30:08 UTC,,,
0E407CVWW38AZZNMZJ0P3JBPJN,30.00,1026841,2019-03-20 12:30:12 UTC,,,
